# interval_sec=0.04
# loop=true
# advance_mode=time
# position_tolerance=160
# pressure_threshold=0
# step_timeout_sec=1.5
# settle_time_sec=0.1
# generated_from=mujoco_rabbit_bound
# cycle_sec=1.80
# joint_scale=0.65
# rear_knee_limit_rad=0.30
# phase_advance_frames=5,9,10,8,10,10,5,8
# tuned_from=20260811_095248_adaptive-rabbit-tune
2526,1762,2303,2037,2036,2160,2620,2305
2365,1859,2365,2034,1704,2270,2562,2241
2180,1969,2423,2033,1394,2404,2501,2193
1985,2083,2476,2034,1189,2530,2391,2182
1792,2193,2525,2036,1189,2601,2219,2208
1614,2191,2569,2040,1189,2603,1992,2254
1461,2187,2608,2045,1189,2603,1730,2296
1342,2180,2642,2051,1189,2603,1473,2322
1266,2170,2670,2057,1189,2603,1269,2345
1271,2159,2693,2063,1189,2603,1189,2366
1285,2147,2709,2069,1189,2603,1189,2382
1308,2134,2719,2074,1189,2603,1189,2396
1339,2121,2723,2078,1189,2603,1189,2405
1378,2107,2785,2080,1189,2603,1189,2411
1422,2095,2805,2081,1189,2603,1189,2413
1473,2083,2778,1975,1189,2603,1189,2411
1529,2072,2705,1870,1189,2603,1189,2405
1589,2063,2588,1775,1189,2603,1189,2396
1652,2056,2433,1698,1189,2603,1189,2382
1719,2051,2252,1645,1189,2603,1189,2366
1787,2047,2056,1622,1189,2601,1189,2345
1856,2046,1858,1633,1189,2574,1189,2322
1926,2047,1671,1676,1189,2546,1189,2296
1996,2050,1505,1748,1189,2515,1189,2267
2065,2055,1369,1845,1189,2483,1189,2236
2133,2061,1272,1957,1189,2451,1189,2203
2198,2069,1242,2077,1189,2417,1189,2169
2261,2077,1252,2194,1189,2383,1202,2134
2320,2087,1271,2247,1189,2338,1221,2098
2376,2096,1299,2244,1242,2241,1241,2062
2428,2106,1335,2237,1364,2131,1261,2015
2476,2114,1378,2227,1522,2018,1282,1929
2520,2122,1427,2214,1708,1911,1302,1845
2558,2128,1481,2200,1910,1821,1331,1773
2592,2133,1541,2184,2117,1754,1414,1720
2620,2135,1605,2167,2317,1714,1538,1692
2644,2083,1672,2149,2498,1704,1692,1694
2661,1973,1741,2132,2650,1723,1866,1728
2673,1866,1812,2115,2763,1766,2047,1791
2680,1770,1885,2099,2832,1828,2222,1880
2719,1694,1958,2084,2855,1902,2377,1987
2768,1645,2030,2071,2831,1980,2502,2103
2775,1626,2101,2059,2765,2021,2590,2219
2736,1641,2171,2050,2599,2045,2638,2321
2652,1688,2239,2043,2347,2086,2647,2349
