# interval_sec=0.025
# loop=true
# advance_mode=time
# position_tolerance=160
# pressure_threshold=0
# step_timeout_sec=1.5
# settle_time_sec=0.1
3413,683,3413,683,683,3413,683,3413
3410,686,3410,686,686,3410,686,3410
3388,708,3388,708,708,3388,708,3388
3329,767,3329,767,767,3329,767,3329
3213,883,3213,883,883,3213,883,3213
3097,999,3097,999,999,3097,999,3097
3038,1058,3038,1058,1058,3038,1058,3038
3016,1080,3016,1080,1080,3016,1080,3016
3013,1083,3013,1083,1083,3013,1083,3013
3005,1091,3005,1091,1091,3005,1091,3005
2953,1143,2953,1143,1143,2953,1143,2953
2809,1287,2809,1287,1287,2809,1287,2809
2530,1566,2530,1566,1566,2530,1566,2530
2252,1844,2252,1844,1844,2252,1844,2252
2108,1988,2108,1988,1988,2108,1988,2108
2056,2040,2056,2040,2040,2056,2040,2056
2048,2048,2048,2048,2048,2048,2048,2048
2040,2056,2040,2056,2056,2040,2056,2040
1988,2108,1988,2108,2108,1988,2108,1988
1844,2252,1844,2252,2252,1844,2252,1844
1566,2530,1566,2530,2530,1566,2530,1566
1287,2809,1287,2809,2809,1287,2809,1287
1143,2953,1143,2953,2953,1143,2953,1143
1091,3005,1091,3005,3005,1091,3005,1091
1083,3013,1083,3013,3013,1083,3013,1083
1080,3016,1080,3016,3016,1080,3016,1080
1058,3038,1058,3038,3038,1058,3038,1058
999,3097,999,3097,3097,999,3097,999
883,3213,883,3213,3213,883,3213,883
767,3329,767,3329,3329,767,3329,767
708,3388,708,3388,3388,708,3388,708
686,3410,686,3410,3410,686,3410,686
683,3413,683,3413,3413,683,3413,683
686,3410,686,3410,3410,686,3410,686
708,3388,708,3388,3388,708,3388,708
767,3329,767,3329,3329,767,3329,767
883,3213,883,3213,3213,883,3213,883
999,3097,999,3097,3097,999,3097,999
1058,3038,1058,3038,3038,1058,3038,1058
1080,3016,1080,3016,3016,1080,3016,1080
1083,3013,1083,3013,3013,1083,3013,1083
1091,3005,1091,3005,3005,1091,3005,1091
1143,2953,1143,2953,2953,1143,2953,1143
1287,2809,1287,2809,2809,1287,2809,1287
1566,2530,1566,2530,2530,1566,2530,1566
1844,2252,1844,2252,2252,1844,2252,1844
1988,2108,1988,2108,2108,1988,2108,1988
2040,2056,2040,2056,2056,2040,2056,2040
2048,2048,2048,2048,2048,2048,2048,2048
2056,2040,2056,2040,2040,2056,2040,2056
2108,1988,2108,1988,1988,2108,1988,2108
2252,1844,2252,1844,1844,2252,1844,2252
2530,1566,2530,1566,1566,2530,1566,2530
2809,1287,2809,1287,1287,2809,1287,2809
2953,1143,2953,1143,1143,2953,1143,2953
3005,1091,3005,1091,1091,3005,1091,3005
3013,1083,3013,1083,1083,3013,1083,3013
3016,1080,3016,1080,1080,3016,1080,3016
3038,1058,3038,1058,1058,3038,1058,3038
3097,999,3097,999,999,3097,999,3097
3213,883,3213,883,883,3213,883,3213
3329,767,3329,767,767,3329,767,3329
3388,708,3388,708,708,3388,708,3388
3410,686,3410,686,686,3410,686,3410
