# interval_sec=0.022
# loop=true
# advance_mode=time
# position_tolerance=160
# pressure_threshold=0
# step_timeout_sec=1.5
# settle_time_sec=0.1
3413,683,683,3413,3413,683,683,3413
3411,685,685,3411,3411,685,685,3411
3400,696,696,3400,3400,696,696,3400
3370,726,726,3370,3370,726,726,3370
3311,785,785,3311,3311,785,785,3311
3213,883,883,3213,3213,883,883,3213
3115,981,981,3115,3115,981,981,3115
3056,1040,1040,3056,3056,1040,1040,3056
3026,1070,1070,3026,3026,1070,1070,3026
3015,1081,1081,3015,3015,1081,1081,3015
3013,1083,1083,3013,3013,1083,1083,3013
3009,1087,1087,3009,3009,1087,1087,3009
2982,1114,1114,2982,2982,1114,1114,2982
2909,1187,1187,2909,2909,1187,1187,2909
2766,1330,1330,2766,2766,1330,1330,2766
2530,1566,1566,2530,2530,1566,1566,2530
2295,1801,1801,2295,2295,1801,1801,2295
2152,1944,1944,2152,2152,1944,1944,2152
2079,2017,2017,2079,2079,2017,2017,2079
2052,2044,2044,2052,2052,2044,2044,2052
2048,2048,2048,2048,2048,2048,2048,2048
2044,2052,2052,2044,2044,2052,2052,2044
2017,2079,2079,2017,2017,2079,2079,2017
1944,2152,2152,1944,1944,2152,2152,1944
1801,2295,2295,1801,1801,2295,2295,1801
1566,2530,2530,1566,1566,2530,2530,1566
1330,2766,2766,1330,1330,2766,2766,1330
1187,2909,2909,1187,1187,2909,2909,1187
1114,2982,2982,1114,1114,2982,2982,1114
1087,3009,3009,1087,1087,3009,3009,1087
1083,3013,3013,1083,1083,3013,3013,1083
1081,3015,3015,1081,1081,3015,3015,1081
1070,3026,3026,1070,1070,3026,3026,1070
1040,3056,3056,1040,1040,3056,3056,1040
981,3115,3115,981,981,3115,3115,981
883,3213,3213,883,883,3213,3213,883
785,3311,3311,785,785,3311,3311,785
726,3370,3370,726,726,3370,3370,726
696,3400,3400,696,696,3400,3400,696
685,3411,3411,685,685,3411,3411,685
683,3413,3413,683,683,3413,3413,683
685,3411,3411,685,685,3411,3411,685
696,3400,3400,696,696,3400,3400,696
726,3370,3370,726,726,3370,3370,726
785,3311,3311,785,785,3311,3311,785
883,3213,3213,883,883,3213,3213,883
981,3115,3115,981,981,3115,3115,981
1040,3056,3056,1040,1040,3056,3056,1040
1070,3026,3026,1070,1070,3026,3026,1070
1081,3015,3015,1081,1081,3015,3015,1081
1083,3013,3013,1083,1083,3013,3013,1083
1087,3009,3009,1087,1087,3009,3009,1087
1114,2982,2982,1114,1114,2982,2982,1114
1187,2909,2909,1187,1187,2909,2909,1187
1330,2766,2766,1330,1330,2766,2766,1330
1566,2530,2530,1566,1566,2530,2530,1566
1801,2295,2295,1801,1801,2295,2295,1801
1944,2152,2152,1944,1944,2152,2152,1944
2017,2079,2079,2017,2017,2079,2079,2017
2044,2052,2052,2044,2044,2052,2052,2044
2048,2048,2048,2048,2048,2048,2048,2048
2052,2044,2044,2052,2052,2044,2044,2052
2079,2017,2017,2079,2079,2017,2017,2079
2152,1944,1944,2152,2152,1944,1944,2152
2295,1801,1801,2295,2295,1801,1801,2295
2530,1566,1566,2530,2530,1566,1566,2530
2766,1330,1330,2766,2766,1330,1330,2766
2909,1187,1187,2909,2909,1187,1187,2909
2982,1114,1114,2982,2982,1114,1114,2982
3009,1087,1087,3009,3009,1087,1087,3009
3013,1083,1083,3013,3013,1083,1083,3013
3015,1081,1081,3015,3015,1081,1081,3015
3026,1070,1070,3026,3026,1070,1070,3026
3056,1040,1040,3056,3056,1040,1040,3056
3115,981,981,3115,3115,981,981,3115
3213,883,883,3213,3213,883,883,3213
3311,785,785,3311,3311,785,785,3311
3370,726,726,3370,3370,726,726,3370
3400,696,696,3400,3400,696,696,3400
3411,685,685,3411,3411,685,685,3411
