# interval_sec=0.022
# loop=true
# advance_mode=time
# position_tolerance=160
# pressure_threshold=0
# step_timeout_sec=1.5
# settle_time_sec=0.1
3413,683,683,3413,683,3413,3413,683
3411,685,685,3411,685,3411,3411,685
3400,696,696,3400,696,3400,3400,696
3370,726,726,3370,726,3370,3370,726
3311,785,785,3311,785,3311,3311,785
3213,883,883,3213,883,3213,3213,883
3115,981,981,3115,981,3115,3115,981
3056,1040,1040,3056,1040,3056,3056,1040
3026,1070,1070,3026,1070,3026,3026,1070
3015,1081,1081,3015,1081,3015,3015,1081
3013,1083,1083,3013,1083,3013,3013,1083
3009,1087,1087,3009,1087,3009,3009,1087
2982,1114,1114,2982,1114,2982,2982,1114
2909,1187,1187,2909,1187,2909,2909,1187
2766,1330,1330,2766,1330,2766,2766,1330
2530,1566,1566,2530,1566,2530,2530,1566
2295,1801,1801,2295,1801,2295,2295,1801
2152,1944,1944,2152,1944,2152,2152,1944
2079,2017,2017,2079,2017,2079,2079,2017
2052,2044,2044,2052,2044,2052,2052,2044
2048,2048,2048,2048,2048,2048,2048,2048
2044,2052,2052,2044,2052,2044,2044,2052
2017,2079,2079,2017,2079,2017,2017,2079
1944,2152,2152,1944,2152,1944,1944,2152
1801,2295,2295,1801,2295,1801,1801,2295
1566,2530,2530,1566,2530,1566,1566,2530
1330,2766,2766,1330,2766,1330,1330,2766
1187,2909,2909,1187,2909,1187,1187,2909
1114,2982,2982,1114,2982,1114,1114,2982
1087,3009,3009,1087,3009,1087,1087,3009
1083,3013,3013,1083,3013,1083,1083,3013
1081,3015,3015,1081,3015,1081,1081,3015
1070,3026,3026,1070,3026,1070,1070,3026
1040,3056,3056,1040,3056,1040,1040,3056
981,3115,3115,981,3115,981,981,3115
883,3213,3213,883,3213,883,883,3213
785,3311,3311,785,3311,785,785,3311
726,3370,3370,726,3370,726,726,3370
696,3400,3400,696,3400,696,696,3400
685,3411,3411,685,3411,685,685,3411
683,3413,3413,683,3413,683,683,3413
685,3411,3411,685,3411,685,685,3411
696,3400,3400,696,3400,696,696,3400
726,3370,3370,726,3370,726,726,3370
785,3311,3311,785,3311,785,785,3311
883,3213,3213,883,3213,883,883,3213
981,3115,3115,981,3115,981,981,3115
1040,3056,3056,1040,3056,1040,1040,3056
1070,3026,3026,1070,3026,1070,1070,3026
1081,3015,3015,1081,3015,1081,1081,3015
1083,3013,3013,1083,3013,1083,1083,3013
1087,3009,3009,1087,3009,1087,1087,3009
1114,2982,2982,1114,2982,1114,1114,2982
1187,2909,2909,1187,2909,1187,1187,2909
1330,2766,2766,1330,2766,1330,1330,2766
1566,2530,2530,1566,2530,1566,1566,2530
1801,2295,2295,1801,2295,1801,1801,2295
1944,2152,2152,1944,2152,1944,1944,2152
2017,2079,2079,2017,2079,2017,2017,2079
2044,2052,2052,2044,2052,2044,2044,2052
2048,2048,2048,2048,2048,2048,2048,2048
2052,2044,2044,2052,2044,2052,2052,2044
2079,2017,2017,2079,2017,2079,2079,2017
2152,1944,1944,2152,1944,2152,2152,1944
2295,1801,1801,2295,1801,2295,2295,1801
2530,1566,1566,2530,1566,2530,2530,1566
2766,1330,1330,2766,1330,2766,2766,1330
2909,1187,1187,2909,1187,2909,2909,1187
2982,1114,1114,2982,1114,2982,2982,1114
3009,1087,1087,3009,1087,3009,3009,1087
3013,1083,1083,3013,1083,3013,3013,1083
3015,1081,1081,3015,1081,3015,3015,1081
3026,1070,1070,3026,1070,3026,3026,1070
3056,1040,1040,3056,1040,3056,3056,1040
3115,981,981,3115,981,3115,3115,981
3213,883,883,3213,883,3213,3213,883
3311,785,785,3311,785,3311,3311,785
3370,726,726,3370,726,3370,3370,726
3400,696,696,3400,696,3400,3400,696
3411,685,685,3411,685,3411,3411,685
